,ID,start_time,completion_time,email,name,gender,age,start_sector,bus_frequency,bus_waiting_time,bus_avg_spending,taxi_frequency,taxi_waiting_time,taxi_avg_spending,service_freq_order,trip_avg_time,trip_avg_km,transport_energy_source,pay_more_no_gas,EV_worries,env_pay_no_more_taxi,route_pay_no_more_taxi,env_pay_no_more_bus,transport_alternatives,massive_transport_weakness
68,123,1/21/20-15:00:34,1/21/20-15:01:50,anonymous,,Hombre,18-24,Valle_de_Tumbaco_y_alrededores,5_o_mas_dias_a_la_semana,5-10_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
69,124,1/21/20-15:01:02,1/21/20-15:01:55,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,5-10_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
70,125,1/21/20-15:01:17,1/21/20-15:02:17,anonymous,,Hombre,25-34,Norte_de_Quito,4_dias_a_la_semana,10-20_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
71,126,1/21/20-15:01:17,1/21/20-15:04:26,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,5-10_minutos,0.50_cvs,1_dia_a_la_semana,menos_de_5_minutos,de_2_a_3_dolares,Taxi_Amarillo;Uber;Cabify;In_drive;Otra,21_a_30_minutos,menos_de_8,Me_es_indiferente,NO,Velocidad_del_vehiculo,0.25_cvs,0.5_cvs,0.10_cvs,,
72,127,1/21/20-15:01:53,1/21/20-15:07:16,anonymous,,Mujer,18-24,Norte_de_Quito,1_dia_a_la_semana,5-10_minutos,0.50_cvs,5_o_mas_dias_a_la_semana,5-10_minutos,de_2_a_3_dolares,Uber;In_drive;Cabify;Taxi_Amarillo;Otra,menos_de_20_minutos,8-15,Combustible_fosil,SI,Tiempo_de_autonomia,0.25_cvs,0.75_cvs,0.10_cvs,,
73,128,1/21/20-15:01:05,1/21/20-15:08:19,anonymous,,Hombre,25-34,Valle_de_Tumbaco_y_alrededores,No_me_movilizo_en_bus,,,1_dia_a_la_semana,5-10_minutos,de_4_a_6_dolares,Uber;Taxi_Amarillo;Cabify;In_drive;Otra,31_a_40_minutos,24-31,Electrico,NO,Tiempo_de_autonomia,1.5_dolares,1.5_dolares,0.30_cvs,,
74,129,1/21/20-17:37:08,1/21/20-17:40:25,anonymous,,Mujer,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,5-10_minutos,1.5,5_o_mas_dias_a_la_semana,5-10_minutos,menos_de_2,Taxi_Amarillo;Uber;Cabify;Otra;In_drive,31_a_40_minutos,8-15,Me_es_indiferente,NO,Tiempo_de_autonomia,0.75_cvs,0.75_cvs,0.30_cvs,,
75,130,1/21/20-22:23:16,1/21/20-22:29:38,anonymous,,Hombre,18-24,Sur_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,1_dia_a_la_semana,5-10_minutos,de_2_a_3_dolares,Taxi_Amarillo;Uber;In_drive;Cabify;Otra,21_a_30_minutos,8-15,Electrico,NO,"Confort_(calidad_del_aire,ruido)",0.5_cvs,0.75_cvs,0.15_cvs,,
76,131,1/22/20-0:08:39,1/22/20-0:18:10,anonymous,,Hombre,18-24,Valle_de_los_Chillos__y_alrededores,5_o_mas_dias_a_la_semana,menos_de_5_minutos,1.25,1_dia_a_la_semana,5-10_minutos,menos_de_2,Taxi_Amarillo;Uber;Cabify;In_drive;Otra,41_a_50_minutos,16-23,Me_es_indiferente,SI,Tiempo_de_autonomia,0.5_cvs,0.5_cvs,0.30_cvs,,
77,132,1/22/20-10:56:25,1/22/20-10:57:00,anonymous,,Hombre,18-24,Sur_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
