"k_fold","width","height","accuracy","F1","precision","recall","group","model","features","ALGG","MSE","RMSE","dimentions","order"
"4",940,940,0.681818182,0.69047619,0.666666667,0.678362573,"G03","RFC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"5",940,940,0.863636364,0.907142857,0.857142857,0.881434355,"G03","RFC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"6",940,940,0.772727273,0.75,0.761904762,0.755905512,"G03","RFC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"7",940,940,0.681818182,0.645238095,0.678571429,0.661485098,"G03","RFC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"8",940,940,0.681818182,0.728571429,0.69047619,0.709012464,"G03","RFC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"9",940,940,0.952380952,0.971428571,0.952380952,0.961810467,"G03","RFC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"10",940,940,0.666666667,0.714285714,0.702380952,0.708283313,"G03","RFC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"1",940,940,0.863636364,0.892857143,0.869047619,0.880791506,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"2",940,940,0.863636364,0.907142857,0.857142857,0.881434355,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"3",940,940,0.863636364,0.880952381,0.857142857,0.86888454,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"4",940,940,0.727272727,0.723809524,0.714285714,0.719016083,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"5",940,940,0.727272727,0.75,0.726190476,0.737903226,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"6",940,940,0.636363636,0.666666667,0.619047619,0.641975309,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"7",940,940,0.818181818,0.80952381,0.80952381,0.80952381,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"8",940,940,0.727272727,0.726190476,0.738095238,0.732094464,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"9",940,940,0.666666667,0.714285714,0.702380952,0.708283313,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"10",940,940,0.666666667,0.761904762,0.642857143,0.697336562,"G03","XGBC","LBP","CLASSIFIERS",NA,NA,"940x940",5
"1",940,940,0.909090909,0.923809524,0.904761905,0.914186508,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"2",940,940,0.772727273,0.804761905,0.761904762,0.782747141,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"3",940,940,0.863636364,0.869047619,0.857142857,0.863054187,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"4",940,940,0.772727273,0.757142857,0.761904762,0.759516346,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"5",940,940,0.863636364,0.880952381,0.857142857,0.86888454,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"6",940,940,0.863636364,0.907142857,0.857142857,0.881434355,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"7",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"8",940,940,0.818181818,0.821428571,0.821428571,0.821428571,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"9",940,940,0.80952381,0.847619048,0.833333333,0.840415486,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"10",940,940,0.80952381,0.845238095,0.833333333,0.839243499,"G03","RFC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"1",940,940,1,1,1,1,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"2",940,940,0.818181818,0.892857143,0.845238095,0.868395303,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"3",940,940,0.954545455,0.971428571,0.952380952,0.961810467,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"4",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"5",940,940,0.863636364,0.869047619,0.857142857,0.863054187,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"6",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"7",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"8",940,940,0.863636364,0.880952381,0.880952381,0.880952381,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"9",940,940,0.80952381,0.845238095,0.821428571,0.833163265,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"10",940,940,0.952380952,0.952380952,0.964285714,0.958296362,"G03","XGBC","RGB_CH","CLASSIFIERS",NA,NA,"940x940",3
"1",940,940,0.818181818,0.857142857,0.80952381,0.832653061,"G03","RFR","GLCM","REGRESSORS","0.318181818","0.564076075","940x940",7
"2",940,940,0.863636364,0.907142857,0.869047619,0.88768671,"G03","RFR","GLCM","REGRESSORS","0.136363636","0.369274473","940x940",7
"3",940,940,0.727272727,0.870748299,0.714285714,0.784794605,"G03","RFR","GLCM","REGRESSORS","1.318181818","1.148120995","940x940",7
"4",940,940,0.727272727,0.702380952,0.714285714,0.708283313,"G03","RFR","GLCM","REGRESSORS","0.272727273","0.522232968","940x940",7
"5",940,940,0.772727273,0.8,0.761904762,0.780487805,"G03","RFR","GLCM","REGRESSORS","0.227272727","0.476731295","940x940",7
"6",940,940,0.863636364,0.845238095,0.857142857,0.851148851,"G03","RFR","GLCM","REGRESSORS","0.136363636","0.369274473","940x940",7
"7",940,940,0.772727273,0.871428571,0.773809524,0.819722969,"G03","RFR","GLCM","REGRESSORS","1.045454545","1.022474716","940x940",7
"8",940,940,0.863636364,0.857142857,0.857142857,0.857142857,"G03","RFR","GLCM","REGRESSORS","0.818181818","0.904534034","940x940",7
"9",940,940,0.666666667,0.738095238,0.69047619,0.713492063,"G03","RFR","GLCM","REGRESSORS","0.476190476","0.690065559","940x940",7
"10",940,940,0.619047619,0.678571429,0.619047619,0.647444299,"G03","RFR","GLCM","REGRESSORS","0.523809524","0.723746864","940x940",7
"1",940,940,0.681818182,0.785714286,0.666666667,0.721311475,"G03","XGBR","GLCM","REGRESSORS","1","1","940x940",7
"2",940,940,0.909090909,0.942857143,0.904761905,0.923416789,"G03","XGBR","GLCM","REGRESSORS","0.090909091","0.301511345","940x940",7
"3",940,940,0.863636364,0.880952381,0.869047619,0.874959508,"G03","XGBR","GLCM","REGRESSORS","0.136363636","0.369274473","940x940",7
"4",940,940,0.681818182,0.666666667,0.666666667,0.666666667,"G03","XGBR","GLCM","REGRESSORS","0.454545455","0.674199862","940x940",7
"5",940,940,0.818181818,0.833333333,0.80952381,0.821256039,"G03","XGBR","GLCM","REGRESSORS","0.545454545","0.738548946","940x940",7
"6",940,940,0.863636364,0.880952381,0.857142857,0.86888454,"G03","XGBR","GLCM","REGRESSORS","0.136363636","0.369274473","940x940",7
"7",940,940,0.636363636,0.730952381,0.642857143,0.684080218,"G03","XGBR","GLCM","REGRESSORS","0.5","0.707106781","940x940",7
"8",940,940,0.636363636,0.702380952,0.630952381,0.664753401,"G03","XGBR","GLCM","REGRESSORS","0.636363636","0.797724035","940x940",7
"9",940,940,0.619047619,0.607142857,0.654761905,0.630053908,"G03","XGBR","GLCM","REGRESSORS","2.380952381","1.5430335","940x940",7
"10",940,940,0.857142857,0.888095238,0.833333333,0.859843246,"G03","XGBR","GLCM","REGRESSORS","0.142857143","0.377964473","940x940",7
"1",940,940,1,1,1,1,"G03","RFR","GRAY_CH","REGRESSORS","0","0","940x940",1
"2",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFR","GRAY_CH","REGRESSORS","0.045454545","0.213200716","940x940",1
"3",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFR","GRAY_CH","REGRESSORS","0.045454545","0.213200716","940x940",1
"4",940,940,0.863636364,0.869047619,0.857142857,0.863054187,"G03","RFR","GRAY_CH","REGRESSORS","0.136363636","0.369274473","940x940",1
"5",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFR","GRAY_CH","REGRESSORS","0.045454545","0.213200716","940x940",1
"6",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","RFR","GRAY_CH","REGRESSORS","0.090909091","0.301511345","940x940",1
"7",940,940,0.909090909,0.935714286,0.904761905,0.919977823,"G03","RFR","GRAY_CH","REGRESSORS","1.181818182","1.087114613","940x940",1
"8",940,940,0.909090909,0.928571429,0.916666667,0.922580645,"G03","RFR","GRAY_CH","REGRESSORS","0.090909091","0.301511345","940x940",1
"9",940,940,0.80952381,0.835714286,0.797619048,0.816222407,"G03","RFR","GRAY_CH","REGRESSORS","0.19047619","0.43643578","940x940",1
"10",940,940,0.904761905,0.916666667,0.916666667,0.916666667,"G03","RFR","GRAY_CH","REGRESSORS","0.095238095","0.3086067","940x940",1
"1",940,940,0.863636364,0.9,0.857142857,0.87804878,"G03","XGBR","GRAY_CH","REGRESSORS","0.136363636","0.369274473","940x940",1
"2",940,940,0.818181818,0.828571429,0.80952381,0.818936877,"G03","XGBR","GRAY_CH","REGRESSORS","0.181818182","0.426401433","940x940",1
"3",940,940,0.863636364,0.869047619,0.869047619,0.869047619,"G03","XGBR","GRAY_CH","REGRESSORS","0.136363636","0.369274473","940x940",1
"4",940,940,0.863636364,0.892857143,0.857142857,0.874635569,"G03","XGBR","GRAY_CH","REGRESSORS","0.136363636","0.369274473","940x940",1
"5",940,940,0.909090909,0.916666667,0.904761905,0.910675381,"G03","XGBR","GRAY_CH","REGRESSORS","0.772727273","0.879049073","940x940",1
"6",940,940,0.954545455,0.964285714,0.964285714,0.964285714,"G03","XGBR","GRAY_CH","REGRESSORS","0.045454545","0.213200716","940x940",1
